,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
105,1,nan,nan,nan,'CONTRACT SPECIALIST','PROCUREMENT DIVISION',nan,nan,nan,'LOCAL',nan,nan,'CONTRACTING AND PROCUREMENT',nan,nan,67303.38923
106,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'PRIMARY GRADES PROGRAM ','PRIMARY GRADES PROGRAM ',nan,nan,nan,nan,nan,5011.38
107,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Physical Therapist ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-PT','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,403.88
108,nan,nan,'ELA E-TEACHING SHELTERED ENG',nan,"'Teacher, Secondary (High) '",nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,503.95
109,nan,nan,'ELPA - PRESCHOOL PROG',nan,'(blank)',nan,'INTERNAL CHARGE/REIMBUR ACCNTS','UNDESIGNATED','EARLY CHILDHOOD','ITEMGD PRESCHOOL PROGRAM',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,-315.06
110,nan,nan,'Care and Upkeep of Building Services','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Supplemental *',nan,nan,'Operation and Maintenance of Plant Services','Non-Certificated Salaries And Wages','TITLE I CARRYOVER ',nan,nan,nan,-8291.86
111,nan,nan,'NON-PROJECT',nan,'Psychologist ',nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','PSYCHOLOGICAL SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,5211.07
112,nan,nan,'TUITION BASED - ECE',nan,"'Teacher, Elementary '",nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','EARLY CHILDHOOD','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,251.22
113,nan,nan,'GENERAL ADMINISTRATION','General Fund',nan,'ADMIN. SERVICES','SUPPLIES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,52.88
114,nan,nan,'NON-PROJECT',nan,'(blank)','ADMISSIONS AND STUDENT RECORDS','TELEPHONE/FACSIMILE SERVICES','UNDESIGNATED','ATTENDANCE SERVICES','GENERAL FUND',nan,'STUDENTS','PREVENTION AND INTERVENTION','n/a',nan,379.59
115,1,nan,'INSTRUCTIONAL MEDIA SERVICES  ','GENERAL FUND                  ','LIBRARY/MEDIA SPECIALIST-ELEM ','School ','OTHER CERTIFIED               ',nan,nan,nan,nan,nan,nan,nan,nan,72824.21109
116,nan,'Instruction And Curriculum','School Leadership',"'""Title  Part A Improving Basic Programs""'","'TEACHER, ESL KINDERGARTEN'",'Summer School','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Year','EXTENDED YEAR',nan,nan,nan,3035.672171
117,nan,'Instruction and Curriculum','Curriculum Development And Instructional Staff Dev','General Operating Fund','SKILLS SPECIALIST','Undistributed','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Undistributed','Operations','Extra Duty Wages','MISCELLANEOUS ',nan,nan,'Undistributed',26.84262496
118,0,nan,nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Other Compensation','TIME CARDS','District Administration',nan,nan,nan,nan,nan,'Fiscal Services',937.8039859
119,nan,'Child Nutrition','Food Services (Child Nutrition Fund Only)','National School Breakfast And Lunch Program',"'CAFETERIA EMPLOYEE, FOOD SERV.'",'School ','Extra Duty Pay/Overtime For Support Personnel','HS FOOD SERVICE WORKER ','Undistributed','Child Nutrition','Extra Duty Pay/Overtime For Support Personnel','ADDL REGULAR PAY-NOT SMOOTHED',nan,nan,'Undistributed',300.72
120,nan,nan,'NON-PROJECT',nan,'Payroll Technician III ','PAYROLL','EMPLOYEE BENEFITS','OFFICE/ADMINISTRATIVE SUPPORT','STAFF SERVICES','GENERAL FUND',nan,'CENTRAL','PAYROLL','n/a',nan,3923.43
121,nan,'Instruction And Curriculum','Curriculum Development And Instructional Staff Dev',"'""Title  Part A Improving Basic Programs""'",nan,'School ','General Supplies',nan,"'""Title I, Part A Schoolwide Activities Related To State Comp'",nan,'General Supplies',nan,'SUPPLIES & MATERIALS',nan,nan,582.08
122,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12','HIGH SCHOOL GENERAL ED PROGRAM 9-12',nan,nan,nan,nan,nan,139.2
123,0.083334928,nan,'TITLE VI-IDEA B-MAIN',nan,'Tutor Interpreter ',nan,'SALARIES OF REGULAR EMPLOYEES','OFFICE/ADMINISTRATIVE SUPPORT',"""SPECIAL EDUCATION-EI'S""",'FEDERAL GDPG FUND',nan,'SPECIAL EDUCATION',nan,'Regular',nan,3189.054356
124,nan,nan,'NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE',"'CRAFTS, TRADES, AND SERVICES'",'FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,121.6316
125,nan,nan,'MEDICAID',nan,'Vision Screening Tech II ','SPECIAL EDUCATION','EMPLOYER PD MED CONTRIBUTION','OFFICE/ADMINISTRATIVE SUPPORT','NURSING SERVICES','DISTRICT SPECIAL REVENUE FUNDS',nan,'STUDENTS','MEDICAID','n/a',nan,20.92
126,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','SUPPLIES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,1750.32
127,nan,nan,'MAINTENANCE AND OPERATING','General Fund',nan,nan,'PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,69999.96
128,0.92,'All Campus Payroll','School Leadership','General Operating Fund','SCHOOL PRINCIPAL','School ','Salaries And Wages For Teachers And Other Professi','ELEM/INTER ASST PRINCIPAL','Undistributed','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',64064.96641
129,0.059375511,nan,'NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE',"'CRAFTS, TRADES, AND SERVICES'",'FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Regular',nan,998.7217315
130,nan,nan,'Other Regular','Special Trust',nan,nan,'Other Pupil Transportation Services',nan,nan,'Regular Instruction','Pupil Transportation *','PSP PROJECT/STARTING PT.',nan,nan,nan,-1156.67
131,0.107219828,nan,'ARRA EDUCATION STABILITAZION',nan,"'OPP Teacher, Eve '",'OPPORTUNITY SCHOOL','SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','ITEMGB - APPRENTICESHIPS','ARRA - STIMULUS',nan,'EDUCATION FOR ADULTS','ADULT VOC ED OPPORTUNITY','Alternative',nan,6044.628004
132,nan,nan,'IDEA ARRA',nan,'Elementary Spec Ed Para ','SPECIAL EDUCATION','ADDITIONAL/EXTRA DUTY PAY/STIP','PARAPROFESSIONAL','INSTRUCTIONAL STAFF TRAINING','ARRA - STIMULUS',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,69.6816
133,nan,'Finance Department','Instruction','General Operating Fund',nan,'School ','Miscellaneous Operating Costs',nan,'Basic Educational Services',nan,'Software License - Web Access',nan,nan,nan,'Basic Educational Services - District Objective ',567.48
134,nan,nan,'INSTRUCTION','General Fund',nan,nan,'OTHER PURCHASED SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,326.08
135,nan,nan,'MAINTENANCE OF PLANT          ','GENERAL FUND                  ',nan,'School ','OTHER PURCHASED SERVICES      ',nan,nan,nan,nan,'MAINTENANCE                   ',nan,nan,nan,124.84
136,nan,nan,'NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS','PSYCHOLOGICAL SERVICES','n/a',nan,691.0068
137,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,324.83
138,nan,nan,'SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','DUES AND FEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,27370.07
139,nan,nan,'Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Contracted Food Services',nan,nan,'Community Services','Contracted Craft Or Trade Services *','PARENT INVOLVEMENT',nan,nan,nan,-776.61
140,0.246890086,nan,'CAMPS',nan,'Community School Child Care ','COMMUNITY EDUCATION','SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','COMMUNITY SERVICE','DISTRICT SPECIAL REVENUE FUNDS',nan,'COMMUNITY SERVICES OPERATION',nan,nan,nan,5251.383897
141,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',35.8891187
142,1,nan,'SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ','SCHOOL SECRETARY              ','School ','OTHER SUPPORT PERSONNEL       ',nan,nan,nan,nan,nan,nan,nan,nan,36211.57109
143,0.00862069,nan,'CORE MATTERS',nan,"'Teacher, Short Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,220.0358769
144,nan,nan,'IMPROVEMENT OF INSTR SERV','General Fund',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,310.45
145,0.35,'All Campus Payroll',"'""Guidance, Counseling And Evaluation Services""'",'General Operating Fund',"'COUNSELOR, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','COUNSELOR MIDDLE SCHOOL','Undistributed','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Undistributed',27085.62162
146,nan,nan,'Extracurricular Activities','Student Activity Fund','SECURITY OFFICER','School ','Extra Duty Pay/Overtime For Support Personnel','POLICE PATROL MAN','Undistributed','High School','Extra Duty Pay/Overtime For Support Personnel','OVERTIME',nan,nan,nan,171.67
147,nan,nan,'NON-PROJECT',nan,'Custodial Helper - Day ',nan,'SALARIES OF REGULAR EMPLOYEES',"'CRAFTS, TRADES, AND SERVICES'",'CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','CUSTODIAL-SCHOOLS','New/Closed Schl',nan,1481.25
148,nan,nan,'INST & CURRICULUM DEV SVCS    ','GENERAL FUND                  ',nan,'School ','IN-COUNTY TRAVEL              ',nan,nan,nan,nan,'VIRTUAL INSTRUCTION PGM  ',nan,nan,nan,439.81
149,nan,nan,'NON-PROJECT',nan,'Social Worker ',nan,'EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,443.18
150,nan,nan,'NON-PROJECT',nan,'Bilingual Translator ','MULTILINGUAL OUTREACH','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-498.3
151,nan,"'""Human Resources, Administration""'",'Curriculum Development And Instructional Staff Dev','General Operating Fund',"'TEACHER, REGULAR'",'Undistributed','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Undistributed','Operations','Extra Duty Wages','COOPERATING TEACHER STIPEND',nan,nan,nan,130.3194593
152,0.004310345,nan,'TITLE III  ELA',nan,"'Teacher, Short Term Sub '",'ENGLISH FOR SPEAKERS OF OTHER','SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'n/a',nan,110.0379385
153,nan,nan,'INSTRUCTION','General Fund',nan,'ADMIN. SERVICES','SUPPLIES',nan,'UPPER ELEMENTARY GRADES PROGRAM ','UPPER ELEMENTARY GRADES PROGRAM ',nan,nan,nan,nan,nan,21.08
154,nan,nan,'STAFF SERVICES                ','GENERAL FUND                  ','TEACHER ASSISTANT-ELEM        ','STAFF DEV AND INSTR MEDIA     ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,nan,nan,nan,nan,59.54
155,nan,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','FIELD TRIPS',nan,nan,'transportation - Second Runs',65.76
156,nan,nan,'ELA S - TEACHING SPANISH ONLY',nan,"'Teacher, Elementary '",'ASSESSMENT & RESEARCH','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','ASSESSMENT AND RESEARCH','n/a',nan,36.63432
157,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Classroom Supplies',nan,nan,'Support Services - Instructional Staff','General Supplies *','FOUND-MYCOM STANCE',nan,nan,nan,-1000.44
158,1,nan,'Office of the Superintendent Services*','General',"'DEP/CHIEF ACADEMIC RESCS, ACAD'","""SUPERINTENDENT'S DEPARTMENT""",'Regular *',nan,nan,'Support Services - Administration','Certificated Employees Salaries And Wages','ACADEMIC LEADERSHIP TEAM','ADM/PROF',nan,nan,180825.8173
159,nan,nan,'NON-PROJECT',nan,'Psychologist ',nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','PSYCHOLOGICAL SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,456.29
160,nan,nan,'GENERAL ADMINISTRATION','General Fund',nan,'ADMIN. SERVICES','DUES AND FEES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,nan
161,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Secondary Spec Ed Para ',nan,'EMPLOYEE BENEFITS','PARAPROFESSIONAL','SPECIAL EDUCATION','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'Regular',nan,88.1
162,nan,nan,'FACILITATOR',nan,"'Teacher, Librarian H S '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','LITERACY COACHES','LEVY OVERRIDE',nan,'INSTRUCTIONAL STAFF',nan,'Alternative',nan,1523.35144
163,nan,nan,'IMPROVEMENT OF INSTR SERV','Vocational Education-Federal Funded',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE',nan,'Vocational  Grant-Program Improvement.','PROGRAM IMPROVEMENT INSTR',nan,nan,nan,nan,nan,-47.18
164,1,nan,nan,'Title I',nan,'ADMIN. SERVICES',nan,'NONE ','TITLE IA BASIC PROGRAM-ADMINISTRATION',nan,nan,nan,nan,nan,nan,140916.58
165,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Occ/Physical Therapist Tech ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PARAPROFESSIONAL','SPECIAL EDUCATION','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,3008.38
166,nan,nan,'Disadvantaged Youth *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Other Awards and Prizes',nan,nan,'Special Instruction','Awards And Prizes *',' TITLE I BLDG ALLOC',nan,nan,nan,-164.52
167,nan,nan,'NON-PROJECT',nan,'Teacher','TEACHER LEARNING & LEADERSHIP','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','TEACHER LEARNING & LEADERSHIP','n/a',nan,247.96088
168,nan,nan,'SPECIAL EDUCATION - ITINERANT',nan,'Occupational Therapist ','SPECIAL EDUCATION','EMPLOYER PD MED CONTRIBUTION','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-OT','GENERAL FUND',nan,'SPECIAL EDUCATION',nan,'n/a',nan,184.58
169,nan,nan,nan,'LOCAL FUND',nan,nan,'TRAVEL - LOCAL','OTHER SERVICES & CHARGES','INSTRUCTIONAL SUPPORT SERVICES','LOCAL',nan,nan,'TRANSPORTATION',nan,nan,6999.76
170,nan,nan,'ELA E-TEACHING SHELTERED ENG',nan,'Teacher Secondary (Middle) ',nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL MIDDLE/JUNIOR HIGH SCH','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,4996.84
171,nan,nan,'BASIC (FEFP K-12)             ','CONVERSION CHARTER SCHOOLS    ',"'TEACHER, FIRST                '",'CHARTER','EXTRA DUTY PAY-INSTRUCTIONAL  ',nan,nan,nan,nan,nan,nan,nan,nan,104.8
172,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Substitute Teachers Certified','SUBSTITUTE TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',2904.71
173,nan,nan,'School Leadership','Campus Activity Funds',nan,'School ','Miscellaneous Operating Costs',nan,'Undistributed',nan,'Food - Inservice',nan,nan,nan,nan,411.73
174,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1406.93
175,nan,nan,'NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SOCIAL WORK SERVICES','GENERAL FUND',nan,'STUDENTS','PSYCHOLOGICAL SERVICES','n/a',nan,92.374
176,nan,nan,'NON-PROJECT',nan,'(blank)','SCHOOL ATTORNEY','SUPPLEMENTAL PERIODICALS','UNDESIGNATED','LEGAL SERVICES','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,753.27
177,nan,'Child Nutrition','Facilities Maintenance And Operations','National School Breakfast And Lunch Program',nan,'School ','Other Utilities',nan,'Undistributed',nan,'Waste Water Treatment And Sanitation',nan,nan,nan,nan,1816.41
178,1.001778656,nan,'TARGETED INTERVENTIONS',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','GENERAL K-8 EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,40893.55024
179,nan,nan,'NON-PROJECT',nan,'Occupational Therapist ','SPECIAL EDUCATION','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-409.31
180,1.002276176,nan,'SAFETY & SECURITY',nan,'Security Patrol ','SAFETY AND SECURITY','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-OTHER','SECURITY SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','n/a',nan,37186.51692
181,nan,nan,'Non-Public School Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Regular *',nan,nan,'Community Services','Certificated Employees Salaries And Wages','TITLE I CARRYOVER-PUBLIC',nan,nan,nan,-10077.15
182,1,nan,nan,'General Fund','School Resource Officer',nan,nan,'RESOURCE OFFICER (NO SUB REQD) ','Misc',nan,nan,nan,nan,nan,nan,64157.54
183,nan,nan,'Payroll Services','General',nan,nan,'Non-Certificated Travel Reimbursement',nan,nan,'Fiscal Services','Travel Mileage/Meeting Expense *','PAYROLL',nan,nan,nan,3199.88
184,nan,nan,'MAINTENANCE AND OPERATING','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES',nan,'Misc','MISCELLANEOUS',nan,nan,nan,nan,nan,-13769.73
185,nan,'All Campus Payroll','Instruction','General Operating Fund','ACADEMIC SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER MASTER',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'State Ed. Allotment','Extra Duty Wages','DEPARTMENT CHAIRPERSON',nan,nan,nan,776.501006
186,0,nan,'PUPIL TRANSPORTATION SERVICES ','GENERAL FUND                  ','LEAD DRIVER/LIAISON           ','TRANSPORTATION                ','BONUSES                       ',nan,nan,nan,nan,nan,nan,nan,nan,106.36
187,nan,nan,'NON-PROJECT',nan,"'Manager, Human Resources '",'HUMAN RESOURCES','EMPLOYER PD MED CONTRIBUTION','ADMINISTRATOR','STAFF SERVICES','GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,504.78
188,nan,nan,'TITLE I - CENTRAL PROGRAMS',nan,'Secretary II ',nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','COMMUNITY SERVICE','FEDERAL GDPG FUND - FY ',nan,'COMMUNITY SERVICES OPERATION',nan,'Regular',nan,61.23832
189,nan,nan,'Innovation Grant',nan,'Early Childhood Education ',nan,'ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','GENERAL K-8 EDUCATION','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,2191.56
190,nan,nan,'SCHOOL IMPROVEMENT GRANT',nan,'(blank)',nan,'CONSULTANT SERVICES','UNDESIGNATED','SUPPORT SERVICES-INSTRUCTIONAL','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF',nan,'Regular',nan,nan
191,nan,nan,'NON-PROJECT',nan,'Custodial Helper - Day ',nan,'CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1.79
192,nan,nan,'SCHOOL LIBRARY MATERIALS',nan,'(blank)',nan,'BOOKS AND PERIODICALS','UNDESIGNATED','BOOST PROGRAM','LEVY OVERRIDE',nan,'REGULAR INSTRUCTION','EDUCATIONAL RESOURCE SERVICES','Regular',nan,4991.33
193,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Alternative',nan,14.4
194,nan,nan,'NON-PROJECT',nan,'Teacher Secondary (Middle) ',nan,'TEACHER COVERAGE FOR TEACHER','PROFESSIONAL-INSTRUCTIONAL','GENERAL MIDDLE/JUNIOR HIGH SCH','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,24.77256
195,nan,nan,'NON-PROJECT',nan,"'Specialist, New Schools '",'SCHOOL CHOICE','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER',"'PLANNING,RESEARCH,DEVELOPMENT'",'GENERAL FUND',nan,'CENTRAL',nan,'n/a',nan,2591.2
196,nan,'Campus Overtime','Instruction','General Operating Fund',nan,'Undistributed','Group Health And Life Insurance','TEACHER MASTER','Basic Educational Services','Operations','Group Health And Life Insurance','EMPLOYER MEDICAL FRINGE',nan,nan,'Basic Educational Services - District Objective ',329.79
197,nan,nan,'IMPROVEMENT OF INSTR SERV','RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'RESERVED FOR NON DOE DIRECT FEDERAL FUNDS FOR K-12','TEACHING AMERICAN HISTORY - DEPT OF EDUC',nan,nan,nan,nan,nan,122.72
